"Especie","Toneladas","Tamanho","Sexo","Dia","Mes","Ano","Latitude","Longitude"
"Meca",0.61,145.47,"M",15,4,2019,-35.3212164575234,46.315933149308
"Albacora bandolim",1.38,185.04,"F",25,11,2022,-5.93832928687334,-5.27902177534997
"Albacora laje",4.13,152.41,"F",3,1,2018,46.9469650648534,-50.5490730330348
"Albacora laje",2.79,117.65,"F",18,8,2023,-12.7497612359002,-173.30164658837
"Albacora bandolim",0.7,161.15,"F",18,2,2018,6.21639858931303,52.7474717237055
"Albacora branca",0.99,134.82,"M",14,4,2023,-44.301889934577,161.537532918155
"Meca",5.58,153.81,"M",5,4,2018,-43.1784502929077,119.541824022308
"Albacora bandolim",3.59,154.85,"M",12,3,2022,87.5624075252563,56.9328155647963
"Outros",5.4,133.12,"F",19,1,2022,47.2453060839325,-157.709802640602
"Albacora laje",4.59,185.32,"F",20,4,2021,-60.5524443928152,-16.0059185139835
"Meca",7.96,150.32,"F",8,1,2018,-66.8517796508968,-144.471901198849
"Tubarao Azul",7.3,127,"F",7,5,2019,-58.0785277253017,141.422741431743
"Meca",6.39,176.05,"M",24,9,2018,-66.0214501759037,131.307446854189
"Outros",0.24,124.84,"F",4,12,2023,45.5565837677568,-153.443256681785
"Meca",1.35,116.08,"M",12,6,2019,-37.3231080081314,7.29247997514904
"Albacora branca",3.28,136.15,"F",19,6,2022,-61.3083011610433,-128.538376428187
"Albacora branca",3.92,123.02,"M",8,6,2021,-25.0282048713416,0.0316172093153
"Outros",3.27,165.76,"M",9,9,2019,89.8386540217325,-105.504727642983
"Albacora laje",2.5,174.31,"F",16,12,2018,-40.6226693373173,61.9907918013632
"Albacora branca",5.85,127.46,"F",27,1,2019,-21.5481257624924,155.325483949855
"Outros",4.87,164.84,"F",12,7,2019,-15.3077559778467,-15.5619601160288
"Albacora branca",5.54,118.18,"F",3,3,2018,-64.4884577114135,81.6903044935316
"Outros",2.07,178.41,"M",14,9,2022,71.3516376027837,-55.2853423543274
"Tubarao Azul",1.69,148.51,"F",2,1,2021,-52.5096256658435,-153.131161462516
"Albacora laje",3.19,167.28,"M",16,2,2020,-36.0742283659056,-80.7238123845309
"Meca",4.38,147.96,"M",11,9,2018,-55.7671940792352,53.0071201175451
"Meca",1.08,133.13,"M",16,4,2018,-31.8216303130612,-6.06508059427142
"Albacora bandolim",4.91,156.96,"M",23,5,2021,48.8159350119531,-178.845934309065
"Outros",2.37,122.01,"F",27,4,2022,-2.00054344721138,99.6375130210072
"Meca",2.69,173.11,"M",5,10,2018,-33.989587649703,-113.831084109843
"Albacora branca",2.02,153.19,"M",28,2,2023,60.2409235434607,165.707049462944
"Albacora bandolim",5.2,126.73,"F",23,6,2020,-21.7578054405749,59.6719952858984
"Outros",6.95,150.94,"M",13,1,2022,-51.5991772664711,133.053054800257
"Albacora laje",5.3,141.32,"F",19,11,2018,78.2894551148638,76.9636947289109
"Meca",0.96,170.1,"M",6,7,2021,-34.8367000836879,69.3837703764439
"Albacora laje",6.98,158.8,"F",1,2,2018,-11.1538208462298,-16.1831473186612
"Albacora branca",2.79,121.74,"M",15,2,2018,-84.4298650044948,-105.169694088399
"Albacora branca",6.21,150.37,"F",10,6,2020,-85.1162407407537,-70.3622546419501
"Meca",5.43,152.56,"F",8,7,2023,44.2966354871169,-141.235941164196
"Albacora bandolim",0.76,147.21,"F",26,10,2021,-50.2970946254209,125.330209862441
"Albacora bandolim",7.92,167.18,"F",4,3,2022,-1.20784197002649,-177.727479720488
"Tubarao Azul",3.99,124.24,"M",21,10,2019,-9.66817351989448,78.634750507772
"Outros",1.22,158.38,"F",8,6,2023,-62.343154521659,-14.8407049756497
"Meca",6.92,141.9,"F",16,5,2023,-86.0470872139558,120.480424007401
"Albacora bandolim",5.74,135.26,"F",16,2,2023,-47.565012993291,-130.66479912959
"Albacora laje",7.22,179.43,"F",12,4,2018,78.5978730674833,-141.594322593883
"Albacora laje",5.5,135.76,"F",9,2,2022,57.0906532555819,-166.96885060519
"Outros",3.76,186.8,"F",23,12,2018,42.8783932467923,34.4088819622993
"Tubarao Azul",3.61,188.35,"F",2,11,2019,-44.2580408463255,-122.904710629955
"Meca",7.61,181.43,"F",5,11,2018,-23.3658132143319,-150.084196245298
"Tubarao Azul",3.25,178.7,"F",2,2,2020,-64.6487413253635,32.6602349895984
"Albacora branca",7.95,152.43,"M",14,6,2019,-2.42013020440936,-41.5355524700135
"Albacora laje",5.74,133.88,"M",11,4,2018,-45.1928704418242,-78.9290806185454
"Albacora laje",6.3,144.96,"F",27,11,2019,-9.56442730966955,5.7262930367142
"Albacora laje",7.02,179.06,"F",12,4,2023,-63.3007129048929,60.1327425520867
"Albacora bandolim",2.85,124.97,"M",1,2,2023,-31.511166379787,83.9096922241151
"Albacora laje",4.28,180.18,"M",6,7,2022,-54.1976607916877,-108.241703677922
"Albacora branca",2.1,188.26,"M",10,12,2019,-53.4898522356525,8.59414368867874
"Albacora branca",7.5,154.69,"M",10,3,2020,3.20360999554396,-21.0078691039234
"Meca",7.2,138.9,"F",1,12,2023,-66.9228934356943,-128.380622556433
"Meca",5.12,122.91,"F",9,10,2021,-38.4947417490184,119.294666508213
"Albacora branca",3.87,156.55,"M",18,5,2023,-79.905373477377,-31.691764248535
"Outros",5.49,130.37,"M",26,10,2019,54.586146203801,-20.1640708744526
"Outros",3.83,127.29,"M",20,11,2020,-44.5362455584109,56.5368002280593
"Tubarao Azul",5.34,149.08,"F",27,5,2020,-2.5360137457028,-99.4730768445879
"Meca",1.08,189.19,"M",27,5,2022,-21.8913773121312,108.3764933981
"Albacora laje",0.85,175.08,"F",11,10,2021,89.7706021461636,175.217058230191
"Meca",0.59,184,"F",27,1,2023,-31.41836123541,86.4955499209464
"Tubarao Azul",4.77,120.5,"M",10,11,2018,-37.3988582007587,-102.670131102204
"Outros",4.81,168.73,"F",8,7,2018,-1.34353668428957,-10.6254118401557
"Tubarao Azul",6.08,147.24,"F",21,11,2023,88.2358537567779,37.582782972604
"Albacora branca",1.86,119.9,"F",21,9,2018,-10.5721747269854,-112.196578206494
"Albacora laje",7.26,143.9,"F",8,9,2023,55.6683265976608,175.00301644206
"Meca",5.23,170.57,"M",1,9,2021,-53.7009201664478,137.414903752506
"Albacora branca",0.89,152.33,"M",25,1,2019,87.0833673002198,-130.999491708353
"Albacora branca",3.39,179.57,"M",24,5,2021,-89.6855622483417,20.2304520271719
"Albacora branca",7.41,184.6,"F",18,10,2023,-6.16896087303758,-35.0060794036835
"Tubarao Azul",1.16,115.13,"F",13,2,2023,-51.1674888851121,-133.695356855169
"Albacora bandolim",2.97,160.28,"F",1,5,2020,-45.811933837831,-28.7330717034638
"Albacora laje",7.18,144.67,"F",19,11,2018,-35.6329820584506,-139.927035653964
"Albacora bandolim",6.63,136.56,"M",24,5,2020,-47.652211105451,168.412860743701
"Albacora bandolim",3.72,145.74,"M",6,6,2021,-48.7349546793848,68.3419470861554
"Albacora branca",6.92,129.9,"F",6,6,2022,44.5207591122016,14.2122843582183
"Meca",1.1,117.3,"M",3,3,2020,-44.1712642181665,88.3182947617024
"Outros",2.94,169.02,"F",21,3,2019,88.5695934807882,-59.296297095716
"Albacora branca",0.69,154.91,"F",28,10,2023,-22.2735496005043,-101.456980202347
"Albacora bandolim",7.7,186.24,"M",14,3,2023,-84.4386791624129,-53.0359609052539
"Albacora laje",5.18,180.33,"F",4,10,2018,-19.0337160788476,50.0755156204104
"Albacora laje",0.74,123.02,"F",17,3,2021,-72.0650735171512,-124.150530081242
"Albacora bandolim",4.83,127.95,"M",19,5,2018,72.7676263265312,-14.6169962547719
"Outros",2.3,138.14,"M",19,12,2022,-36.0258769802749,105.6495277863
"Albacora laje",6.32,173.82,"F",14,12,2022,-70.353822237812,-93.7821932416409
"Albacora branca",5.68,126.22,"F",26,1,2020,-13.4567445097491,-30.443131159991
"Meca",7.02,135.67,"M",22,4,2022,-72.0023380732164,-167.914185784757
"Tubarao Azul",2.78,158.96,"F",17,12,2022,71.5638783294708,176.344092870131
"Albacora bandolim",6.86,152.86,"M",2,7,2019,-5.22601285949349,169.450991638005
"Tubarao Azul",0.45,146.19,"F",18,10,2022,-68.5807139798999,-109.313324466348
"Outros",5.71,176.65,"M",25,4,2020,-7.71828589495271,67.3742805048823
"Albacora branca",5.03,189.34,"M",18,2,2022,-40.5731296492741,36.3461013883352
"Albacora laje",6.43,115.63,"F",4,10,2021,-18.4981589019299,-13.6654292140156
"Meca",3.84,124.23,"M",17,5,2018,-22.4767445353791,-171.868321951479
"Tubarao Azul",0.29,124.41,"F",13,6,2018,-65.7905750116333,-171.117725204676
"Albacora laje",7.9,129.79,"F",21,8,2018,5.44971013907343,158.970169471577
"Albacora branca",3.52,149.44,"F",1,8,2023,-51.9409159244969,83.4762916713953
"Tubarao Azul",5.55,123.56,"F",3,4,2021,-50.7728808280081,138.730814186856
"Outros",7.66,130.85,"F",6,11,2020,-22.1775334747508,1.60288366489112
"Tubarao Azul",4.47,147.52,"M",22,6,2022,68.9775042235851,-61.7793245986104
"Outros",2.84,149.26,"M",20,4,2018,-86.9577861065045,-102.533024707809
"Meca",7.38,140.83,"M",20,4,2019,87.6902709016576,74.6983769349754
"Tubarao Azul",5.44,177.62,"M",15,3,2022,-13.2797718979418,-20.7349593658
"Meca",6.53,164.73,"M",20,4,2020,-8.12566549982876,46.8243335466832
"Outros",7.35,186.79,"F",15,10,2021,84.3794694403186,136.033207615837
"Tubarao Azul",1.99,176.57,"F",17,7,2021,47.9383417032659,-163.034008070827
"Albacora branca",0.27,149.79,"F",17,12,2022,4.86508287023753,142.531298166141
"Meca",3.43,156.2,"M",11,9,2020,-16.0071270167828,-108.743274752051
"Tubarao Azul",6.49,129.58,"M",6,9,2020,3.81687680259347,-101.153573496267
"Outros",3.55,137.13,"M",27,11,2018,-37.3196404566988,-51.1900437064469
"Albacora branca",5.82,176.71,"F",24,5,2023,-51.4210263686255,-0.23641468025744
"Albacora laje",2.4,160.27,"F",22,4,2019,83.8286510808393,104.560224954039
