"";"Tamanho";"Sexo";"Ano"
"1";153,543698250146;"M";2023
"2";152,951729053194;"F";2019
"3";175,877813449186;"M";2021
"4";142,894559128349;"M";2022
"5";149,758826346282;"F";2022
"6";150,441801997306;"F";2018
"7";158,231036733334;"M";2018
"8";171,984744831682;"M";2020
"9";159,829089614373;"F";2018
"10";144,448046923137;"F";2021
"11";158,741382991837;"F";2022
"12";141,807135317809;"F";2019
"13";173,57417949355;"M";2021
"14";135,177981467303;"M";2022
"15";142,13857430494;"M";2022
"16";165,915317837408;"F";2022
"17";146,499371968732;"M";2023
"18";152,927570323796;"F";2023
"19";166,551214922789;"M";2022
"20";155,105753412527;"F";2020
"21";143,234486447099;"F";2021
"22";140,490757162948;"F";2021
"23";149,498017583333;"M";2022
"24";159,639921139694;"F";2019
"25";150,597931710666;"F";2023
"26";136,429283182383;"M";2023
"27";150,910367915814;"M";2019
"28";151,525985138959;"M";2018
"29";139,848281322888;"F";2018
"30";122,449788586712;"M";2022
"31";158,593824832772;"F";2021
"32";139,297174545766;"F";2018
"33";146,03725958207;"M";2021
"34";135,304204122689;"F";2018
"35";156,25840562927;"M";2019
"36";151,205942443897;"M";2021
"37";138,363733879107;"F";2020
"38";155,247883615925;"M";2023
"39";151,16361015241;"F";2020
"40";140,301823320749;"M";2021
"41";166,652182202307;"F";2018
"42";145,454327006936;"F";2018
"43";137,97836456465;"M";2021
"44";134,749381772882;"M";2023
"45";151,698262312878;"M";2021
"46";157,637659754424;"F";2023
"47";161,96226660592;"F";2018
"48";162,382386015563;"M";2021
"49";142,232348391944;"M";2021
"50";157,081263126086;"F";2023
"51";162,07619096374;"F";2019
"52";179,390235103484;"F";2018
"53";142,957870522854;"F";2022
"54";154,006059930587;"M";2022
"55";147,904105565564;"M";2022
"56";151,994146700528;"F";2018
"57";145,517588011797;"F";2019
"58";146,177654088439;"F";2019
"59";156,817114659187;"F";2023
"60";147,885656841373;"M";2020
"61";136,515857351719;"F";2020
"62";155,008933734237;"F";2022
"63";132,975849253222;"M";2019
"64";139,656122184148;"M";2020
"65";148,617527662374;"F";2021
"66";123,05331135187;"M";2022
"67";143,459243377847;"F";2021
"68";155,53744139563;"F";2021
"69";157,369434241984;"F";2019
"70";141,888717685588;"M";2023
"71";151,292040083308;"F";2020
"72";151,052880542883;"M";2020
"73";165,470893436877;"F";2021
"74";139,90285482179;"M";2021
"75";161,752627336046;"M";2018
"76";142,354450351225;"F";2022
"77";161,655102863432;"M";2020
"78";156,602145286846;"M";2023
"79";160,685270361817;"F";2019
"80";149,542857910154;"F";2022
"81";159,743082296699;"M";2021
"82";158,497940448814;"F";2022
"83";158,15526528395;"M";2020
"84";143,361086213423;"M";2019
"85";156,067515671436;"F";2022
"86";151,017963549497;"F";2023
"87";148,318736286243;"F";2022
"88";141,801664166003;"M";2023
"89";148,315833303437;"F";2020
"90";141,761809864927;"M";2022
"91";143,538000928007;"M";2018
"92";139,937647230029;"F";2023
"93";157,114873284634;"F";2023
"94";146,013186940626;"F";2020
"95";154,571171613969;"F";2021
"96";142,220721424966;"M";2019
"97";146,062096259474;"M";2020
"98";148,549978600338;"M";2022
"99";144,297366696288;"M";2018
"100";147,724074960481;"F";2022
"101";128,966015527213;"M";2023
"102";138,195687497563;"M";2023
"103";153,344982496097;"M";2020
"104";143,731681571823;"M";2018
"105";158,822863915044;"M";2023
"106";140,595295024304;"F";2018
"107";145,812297392408;"M";2019
"108";168,421799267641;"F";2021
"109";154,425458631897;"F";2022
"110";158,412959227604;"F";2019
"111";166,707684707282;"F";2019
"112";159,153429786428;"F";2019
"113";155,703983790425;"F";2020
"114";147,673730214751;"M";2019
"115";163,232100900176;"M";2022
"116";152,5513740119;"F";2019
"117";164,405218642795;"M";2021
"118";147,669920843666;"F";2019
"119";158,299585128487;"F";2019
"120";131,944068555023;"F";2022
"121";138,811972457335;"M";2020
"122";148,470514839381;"F";2022
"123";169,961464815962;"F";2020
"124";166,855215291798;"F";2022
"125";122,829252422003;"F";2018
"126";150,211206229005;"F";2022
"127";167,968822004391;"M";2019
"128";150,913360810837;"M";2019
"129";152,284852748262;"M";2019
"130";156,750097384258;"M";2021
"131";144,132172370198;"F";2021
"132";145,466913820168;"F";2021
"133";159,58994237888;"M";2022
"134";147,868684410823;"F";2019
"135";155,558877050868;"M";2018
"136";149,687858225823;"F";2020
"137";150,103862373345;"M";2022
"138";163,134399503914;"F";2022
"139";162,617721943767;"M";2020
"140";153,457922030183;"M";2022
"141";151,576368272865;"F";2022
"142";152,15036680974;"M";2021
"143";142,130119431482;"M";2018
"144";135,561912989021;"M";2020
"145";134,107014893516;"F";2021
"146";158,088557291877;"M";2021
"147";134,070379384133;"M";2021
"148";155,201793469607;"M";2018
"149";150,916729781187;"F";2022
"150";170,068745325264;"F";2020
"151";154,739268484077;"M";2021
"152";154,164873992484;"F";2019
"153";148,793378638929;"M";2022
"154";159,440809981115;"F";2023
"155";156,861000276375;"M";2020
"156";152,171905961189;"F";2019
"157";156,414983907031;"F";2021
